milestone_id,category_id,plan_id,title,start,end
1-3-1,1,1-3,研議建置常態性、公開性的開放資料諮詢機制,2021-1-1,2021-12-31
1-4-1,1,1-4,研議相關主動機制,2021-1-1,2021-6-30
1-4-2,1,1-4,建立專責小組與民間保持溝通管道,2021-1-1,2022-6-30
2-1-1,2,2-1,針對議事流程圖進行盤點檢視，釐清已開放、未開放資料,2021-1-1,2021-6-30
2-1-2,2,2-1,詳列工作計畫，並陸續將資料以開放格式開放,2021-7-1,2022-12-31
2-2-1,2,2-2,研議資料揭露格式,2021-1-1,2021-1-31
2-2-2,2,2-2,建置資料揭露格式予各黨團及委員自主填寫,2021-2-1,2024-12-31
2-3-1,2,2-3,研議資料揭露格式,2021-1-1,2021-1-31
2-3-2,2,2-3,建置資料揭露格式予各黨團及委員自主填寫,2021-2-1,2024-12-31
3-1-1,3,3-1,研議實施要點,2021-1-1,2021-12-31
3-1-2,3,3-1,凝聚朝野共識,2021-1-1,2021-12-31
3-1-3,3,3-1,介面規劃與測試,2022-1-1,2022-6-30
3-1-4,3,3-1,系統上線實施,2022-7-1,2022-12-31
3-2-1,3,3-2,現行公聽會盤點、人力及成本評估報告,2021-1-1,2021-6-30
3-2-2,3,3-2,詳列工作計畫,2021-7-1,2021-12-31
3-3-1,3,3-3,活化中南部服務中心,2021-1-1,2023-12-31
3-3-2,3,3-3,研究加強首都以外服務功能,2021-1-1,2023-12-31
3-3-3,3,3-3,產出方案,2021-1-1,2023-12-31
3-4-1,3,3-4,調查各國遊說制度如何推行,2021-1-1,2021-6-30
3-4-2,3,3-4,就臺灣遊說制度，了解各黨團與其他團體看法,2021-7-1,2021-12-31
3-4-3,3,3-4,研議遊說調整方案,2022-1-1,2022-12-31
3-5-1,3,3-5,通盤滾動檢討院內無障礙設施規劃，並將相關進度公告在網站上,2022-1-1,2022-6-30
4-1-1,4,4-1,盤點現有主題網站,2021-1-1,2021-1-31
4-1-2,4,4-1,規劃主題網站整合方案，並於新建網站中融入開放標準及精神,2021-1-1,2021-6-30
4-1-3,4,4-1,執行主題網站整合,2021-7-1,2022-12-31
4-2-1,4,4-2,盤點現有關鍵字權威檔並跨局處橫向連結,2021-1-1,2021-3-31
4-2-2,4,4-2,開放關鍵字權威檔,2021-1-1,2021-3-31
4-2-3,4,4-2,研議增加使用者提報機制,2021-4-1,2021-12-31
4-3-1,4,4-3,盤點現有代碼以及配發單位,2021-1-1,2021-6-30
4-3-2,4,4-3,研議資料永久獨立編碼方式,2021-1-1,2021-6-30
4-3-3,4,4-3,編碼製表建檔並於新建系統中使用,2021-7-1,2022-12-31
4-4-1,4,4-4,建立開源平台組織帳號,2021-1-1,2021-3-31
4-4-2,4,4-4,盤點現有網站和資訊系統並評估開源可能,2021-4-1,2021-9-30
4-4-3,4,4-4,每年至少開源程式碼與技術文件各1份,2021-1-1,2024-1-31
4-5-1,4,4-5,提案協商,2021-1-1,2021-3-31
4-5-2,4,4-5,法案修訂,2021-4-1,2021-6-30
4-5-3,4,4-5,研究與執行技術測試,2021-3-1,2021-4-30
4-5-4,4,4-5,軟硬體採購、建置及測試,2021-5-1,2021-8-30
4-5-5,4,4-5,研討功能及管理規範,2021-9-1,2021-12-31
5-1-1,5,5-1,盤點現有素材,2021-1-1,2021-3-31
5-1-2,5,5-1,國會運作之科普說明手冊（素材）之撰寫,2021-4-1,2021-8-31
5-1-3,5,5-1,手冊（素材） CC 授權釋出、推廣串聯,2021-9-1,2023-12-31
5-2-1,5,5-2,待資料庫、資訊平台優化方案實施後進行盤點,2021-7-1,2022-12-31
5-2-2,5,5-2,整合國會頻道、資訊處和國會圖書館提供之資料庫、資訊平台資料和說明，繪製國會資訊系統總體地圖做推廣,2023-1-1,2023-12-31
5-2-3,5,5-2,針對國會頻道、整合國會資訊系統地圖，做整體推廣專案執行，而非單點宣傳,2023-1-1,2023-12-31
5-3-1,5,5-3,學校：制定學校專用參訪國會手冊，並每學年發文至各高中、大專院校主動推廣,2021-6-1,2023-12-31
5-3-2,5,5-3,學校：發文至教育部請教育部研擬開放國會主題學程,2021-6-1,2023-12-31
5-3-3,5,5-3,學校：與大專院校（高中）合作開放國會主題之專題演講，每年於北、中、南、東各辦理至少1場,2021-6-1,2023-12-31
5-3-4,5,5-3,公民團體：制定公民團體參與國會手冊，提供給財團法人、社團法人主管機關為註冊時必讀資料,2021-6-1,2023-12-31
5-3-5,5,5-3,公民：舉辦開放國會訓練課程，讓公民得以做好準備參與下一輪開放國會計畫,2023-1-1,2023-12-31
